"id","course_id","course_program_name","program_overview_order","program_overview_selected","selected_ids","status","createdOn","updatedOn"
"11","12","Program Overview",,,,"A","2022-12-27 17:32:09",
"12","13","Program Overview",,,,"A","2022-12-28 12:44:12",
"13","14","Program Overview","""""","{""program_overview"":[{""refId"":38,""icon"":""key-highlights-1672896291.svg"",""txt"":""Learn how to conduct disciplinary proceedings, including appreciation of evidence and drafting various kinds of notices and orders"",""allowed"":1},{""refId"":39,""icon"":""key-highlights-1672896291.svg"",""txt"":""Learn how to draft various kinds of organizational policies, employment and consultancy contracts, manpower supply contracts, etc."",""allowed"":1},{""refId"":41,""icon"":""key-highlights-1672896291.svg"",""txt"":""Learn how to check contractor compliance and shield your organization from defaults by contractors"",""allowed"":1},{""refId"":42,""icon"":""key-highlights-1672896291.svg"",""txt"":""Learn how to respond to notices by various statutory authorities - labour commissioners, ESI and PF authorities, etc. and what to do if proceedings are initiated before labour commissioners or labour courts"",""allowed"":1},{""refId"":43,""icon"":""key-highlights-1672896291.svg"",""txt"":""Prepare foolproof documentary trails to defend the organization effectively in the event of legal proceedings"",""allowed"":1},{""refId"":44,""icon"":""key-highlights-1672896291.svg"",""txt"":""Develop competence in industrial relations and disputes, dealing with trade unions, handling conciliations, bipartite and tripartite settlements, etc."",""allowed"":1},{""refId"":45,""icon"":""key-highlights-1672896291.svg"",""txt"":""Simulation case studies on compliance requirements under the Payment of Gratuity Act, Employees State Insurance Act, Contract Labour Act, Shops and Establishments Act"",""allowed"":1},{""refId"":46,""icon"":""key-highlights-1672896291.svg"",""txt"":""Learn how to draft briefing notes on critical labour issues for management and external lawyers"",""allowed"":1},{""refId"":48,""icon"":""key-highlights-1672896291.svg"",""txt"":""Perform practical exercises on termination of employment, maternity benefits, POSH Act, CSR work, ESOP plan etc."",""allowed"":1},{""refId"":49,""icon"":""key-highlights-1672896291.svg"",""txt"":""Master the new Labour Codes and ongoing developments"",""allowed"":1}]}","""38,39,41,42,43,44,45,46,48,49""","A","2022-12-28 13:22:17","2022-12-28 13:12:53"
"14","15","Program Overview",,,,"A","2023-01-04 11:32:27",
"15","16","Program Overview",,,,"A","2023-01-11 13:03:47",
"16","17","Program Overview",,,,"A","2023-01-28 12:51:05",
"17","18","Program Overview",,,,"A","2023-02-19 15:54:23",
"18","19","Program Overview",,,,"A","2023-03-16 17:09:11",
"19","20","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""Stay Updated with Latest AI Trends: Join this course to stay ahead of the curve and learn about the latest trends in AI. Enhance your efficiency by leveraging the power of AI technologies."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""Unique Applications of AI Tools: Discover innovative ways to utilize AI tools to their fullest extent. Gain practical knowledge and insights into how AI can be applied in various domains."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""No Technical Background Required: Don't worry if you have no prior knowledge of AI or a technical background. This course is designed to teach AI from a user perspective, focusing on practical applications rather than technical details."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""Self-Sufficiency in AI Tool Usage: Become self-sufficient in using AI tools, enabling you to apply these techniques to upcoming updates and advancements in AI. Develop the skills necessary to adapt and thrive in an evolving AI landscape."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""Interactive Classes with Live Demonstrations: Experience engaging and interactive classes where AI tools will be demonstrated live. Learn by seeing practical examples and gain hands-on experience."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""Opportunities for Freelance Work: This comprehensive course not only equips you with AI tool skills but also provides opportunities to generate freelance work. Unlock the potential to offer AI-related services to clients and expand your professional opportunities."",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""Expert Instructors and Guest Lectures: Learn from experienced and knowledgeable instructors who have expertise in AI and its practical applications. Our faculty members bring real-world experience and industry insights to the course, ensuring a high-quality learning experience."",""allowed"":1},{""refId"":8,""icon"":""key-highlights-1672896291.svg"",""txt"":""Explore the work of business optimization through a large number of AI tools"",""allowed"":1},{""refId"":9,""icon"":""key-highlights-1672896291.svg"",""txt"":""Dynamic course syllabus to keep up with the evolving field of Artificial Intelligence "",""allowed"":1}]}","""1,2,3,4,5,6,7,8,9""","A","2023-03-23 12:42:57","2023-06-27 15:06:07"
"20","21","Program Overview",,,,"A","2023-04-10 18:59:43",
"21","22","Program Overview",,,,"A","2023-04-19 13:57:20",
"22","23","Key Highlights","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Comprehensive Curriculum:<\/b> Covering all major aspects of compliance including legal, ethical, and regulatory frameworks."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Practical Application:<\/b> Real-world case studies, interactive sessions, and practical exercises to apply your knowledge."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Certification:<\/b> Earn a recognized certification to boost your credentials and advance your career."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Emerging Trends: <\/b>Staying updated with the latest trends and changes in U.S. corporate compliance."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Flexible Learning:<\/b> Online modules that you can complete at your own pace."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Career Advancement: <\/b>Equip yourself with the skills and knowledge to excel in your role and advance your career."",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Interactive Content:<\/b> Engaging videos, quizzes, and discussion forums to enhance learning."",""allowed"":1}]}","""1,2,3,4,5,6,7""","A","2023-04-19 15:44:58","2024-10-20 14:10:42"
"23","24","Key highlights","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Stay Updated on IRS Changes:<\/b> Master the latest IRS regulations and tax updates with our all-inclusive US Tax Compliance course."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Accessible to All: <\/b>No prior experience? No problem! Our beginner-friendly course simplifies tax concepts with interactive lessons and live examples."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Freelance Opportunities Await: <\/b>Equip yourself with skills to offer freelance tax services and boost your income potential."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Learn from Experts:<\/b> Gain insights from seasoned instructors and guest lecturers with real-world tax compliance expertise."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Practical Knowledge:<\/b> Dive into real-world scenarios with case studies that prepare you for hands-on tax challenges."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Comprehensive and Career-Focused:<\/b> Build a strong foundation in US Tax Compliance to enhance your career or start a freelance journey."",""allowed"":1}]}","""1,2,3,4,5,6""","A","2023-04-19 16:57:51","2024-12-21 18:12:39"
"24","25","Key Highlights","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Accessible to All:<\/b> No technical background needed; the course caters to various skill levels."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Expert-Led Training:<\/b> Learn from experienced professionals who bring real-world insights."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Freelance Support:<\/b> Gain insights into freelancing, including how to succeed in the market."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Career Assistance: <\/b>Get help with job searching, resume crafting, and interview prep."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Case Studies: <\/b>Tackle real-life case studies to bridge theory with practical application."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Weekly Assignments:<\/b> Engage in regular assignments to deepen understanding and skills."",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Doubt Resolution:<\/b> Benefit from ongoing support to address questions and clarify doubts."",""allowed"":1}]}","""1,2,3,4,5,6,7""","A","2023-04-20 12:23:34","2024-12-28 17:12:10"
"25","26","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""Enhance your career by improving Business English communication skills in the corporate world."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""Build competence in English for effective global workplace communication."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""Learn to write professional documents such as reports and business letters with precision."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""Gain knowledge of industry-specific vocabulary and formal communication for career growth."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""Attend interactive live online classes twice a week with doubt-clearing sessions."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""Benefit from a tailored Business English course focusing on communication, negotiations, presentations, and industry-specific jargon."",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""Complete assignments with time-bound evaluations to improve learning."",""allowed"":1},{""refId"":8,""icon"":""key-highlights-1672896291.svg"",""txt"":""Sharpen oratory skills with dedicated pronunciation sessions, feedback, and tips."",""allowed"":1}]}","""1,2,3,4,5,6,7,8""","A","2023-04-28 20:04:45","2026-01-31 16:01:41"
"26","27","Program Overview",,,,"A","2023-05-20 13:30:23",
"27","28","Key Highlights","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""Designed for busy professionals, with classes scheduled after work hours to integrate seamlessly into daily routines."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""Covers a wide range of topics, including AI applications for content generation, social media, market research, and knowledge management."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""Tailored for senior professionals to leverage AI for personal branding, productivity, and professional excellence."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""Focuses on practical skills, teaching participants to use AI tools for idea generation, research, content creation, and workflow management."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""Emphasizes hands-on learning through practical exercises and live online classes for real-world application."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""Highlights how AI can enhance efficiency and productivity, giving participants a competitive edge."",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""Offers a full refund if participants follow the course for a month and don\u2019t find it valuable, ensuring program quality."",""allowed"":1}]}","""1,2,3,4,5,6,7""","A","2023-05-21 12:12:52","2024-12-27 18:12:48"
"28","30","Key Highlights","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Broad Accessibility:<\/b> Suitable for students from fields like commerce, economics, finance, and accounting."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>US GAAP Proficiency:<\/b> Master US Generally Accepted Accounting Principles and key accounting software to access US-based accounting roles."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Remote Job Opportunities:<\/b> Ideal for degree holders (CA, CS, MBA) looking to tap into the expanding remote job market."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Income Potential:<\/b> Earn up to $2000 per month with growth opportunities, ideal for students and remote professionals."",""allowed"":1}]}","""1,2,3,4""","A","2023-08-03 16:55:45","2024-12-08 13:12:57"
"29","31","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>AI Trends:<\/b> Stay current with AI advancements and improve your efficiency."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>AI Applications:<\/b> Discover and utilize AI tools across various fields for practical insights."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Accessibility:<\/b> No technical background needed; the course focuses on practical AI uses."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Independence with AI Tools:<\/b> Learn to use AI tools autonomously and adapt to new technologies."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Interactive Learning:<\/b> Engage in classes with live AI tool demonstrations for experiential learning."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Freelance Opportunities:<\/b> Acquire AI skills to start freelance work and broaden your professional scope."",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Expert Instruction:<\/b> Learn from experienced instructors with real-world AI insights and guest lectures."",""allowed"":1}]}","""1,2,3,4,5,6,7""","A","2023-08-03 20:03:21","2024-12-14 18:12:07"
"30","32","Program Overview",,,,"A","2023-08-04 13:33:51",
"31","33","Key Highlights","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Master Content Marketing Trends:<\/b> Keep up with the latest content marketing trends to craft impactful content that engages your audience."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Leverage AI in Content Creation:<\/b>  Use AI tools to streamline creation, optimize strategies, and boost engagement."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>No Prior Experience Needed:<\/b> This course offers practical strategies for all skill levels, from beginners to seasoned marketers."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Interactive Classes<\/b> Participate in live, practical classes for hands-on content marketing experience."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Freelance Opportunities: <\/b>Acquire skills for freelance content marketing and create a client-attracting portfolio."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Expert Instructors<\/b> Learn content marketing through real-world insights from industry experts and guest lectures."",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Dynamic Curriculum:<\/b> Benefit from a constantly updated curriculum that reflects the latest content marketing trends."",""allowed"":1},{""refId"":8,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Real-World Projects:<\/b> Implement your skills in real-world projects to build a professional portfolio."",""allowed"":1}]}","""1,2,3,4,5,6,7,8""","A","2023-08-10 17:04:23","2025-02-07 16:02:32"
"32","34","Program Overview",,,,"A","2023-08-19 13:32:11",
"33","35","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""This course allows you to understand International Legal Framework. You will be introduced to the legal principles and regulations governing international contracts, including international trade laws, international conventions, and treaties."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""Regardless of your level of expertise and experience, this course will help you explore the basic elements of a contract in an international setting. Identifying and analysing essential contract clauses in international agreements."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""This course will also help you examine the principles of jurisdiction and choice of law in international contracts, including the application of conflict of laws rules and the significance of international arbitration."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""One of the unique features of this course is that it recognizes and addresses communication styles, and business practices that may impact contract negotiations and drafting when dealing with international parties."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""By the end of the course, you will be proficient in useful techniques for drafting clear, concise, and enforceable international contracts, including the effective use of defined terms, precise language, and avoiding ambiguous or conflicting provisions."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""This course offers you knowledge of risk management and contractual protections such as understanding risk allocation, liability limitations, indemnification clauses, insurance provisions, and other mechanisms to mitigate potential risks in international transactions."",""allowed"":1}]}","""1,2,3,4,5,6""","A","2023-08-31 21:46:39","2023-08-31 21:08:43"
"34","36","Program Overview",,,,"A","2023-09-01 16:06:26",
"35","37","Program Overview",,,,"A","2023-10-13 18:52:33",
"36","38","Program Overview",,,,"A","2023-10-13 19:46:29",
"37","39","Program Overview",,,,"A","2023-10-28 16:50:53",
"38","40","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Stay Updated with AI Trends:<\/b> Join to learn the latest AI trends and boost efficiency with AI technologies."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Unique AI Applications:<\/b> Explore innovative AI applications across various domains, gaining practical insights."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>No Technical Background Needed:<\/b> Learn AI from a user perspective; focus on practical use, not technical details."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b> Self-Sufficiency in AI Tools:<\/b> Gain skills to adapt to AI advancements and use tools independently."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b> Interactive Classes with Live Demos:<\/b> Engage in classes with live AI tool demonstrations and hands-on learning."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Freelance Work Opportunities:<\/b> This course prepares you to offer AI-related freelance services and grow professionally."",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Expert Instructors & Guest Lectures: <\/b>Learn from AI experts, gaining real-world insights and industry knowledge."",""allowed"":1},{""refId"":8,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Dynamic Syllabus:<\/b> A constantly updated curriculum to match the evolving AI landscape."",""allowed"":1}]}","""1,2,3,4,5,6,7,8""","A","2023-10-28 17:33:48","2025-01-05 18:01:29"
"39","41","Program Overview",,,,"A","2023-12-22 19:38:15",
"40","42","Program Overview",,,,"A","2023-12-22 20:45:41",
"41","43","Program Overview",,,,"A","2023-12-22 21:06:53",
